Track_ID,Obj_Class,BBox_CX,BBox_CY,BBox_W,BBox_H,Scene_Density,Ego_Drifting,Distance_m,Approach_Speed_kmh,Lateral_Speed_vx,Vertical_Speed_vy,TTC_sec,Target_Correct,Severity,Start_Timing,End_Quality,Reward_Score
333,car,262.69,80.0,22,25,4,False,107.09,-1.79,0.67,0.0,999.0,1,3,c,1,0
335,car,313.98,115.62,227,119,2,False,10.47,2.12,111.31,-47.93,999.0,1,3,c,1,0
336,car,414.28,92.16,76,54,2,False,28.88,135.01,53.36,11.67,999.0,1,3,c,1,0
335,car,481.64,100.41,35,27,5,False,69.46,-103.04,4.97,-1.92,999.0,1,3,c,1,0
347,car,195.93,97.07,91,63,5,False,27.17,15.68,-12.04,3.41,999.0,1,3,c,1,0
356,car,311.32,82.62,38,31,5,False,63.19,-6.83,2.43,-1.09,999.0,1,3,c,1,0
349,car,259.23,82.0,35,28,5,False,68.08,16.36,1.98,-0.44,999.0,1,3,c,1,0
380,car,130.33,212.66,52,32,4,False,47.79,15.87,-4.37,1.59,999.0,1,3,c,1,0
379,car,75.79,219.0,64,37,4,False,39.08,7.09,-4.45,0.0,999.0,1,3,c,1,0
387,car,446.64,212.87,93,63,5,False,26.31,-11.99,-13.77,-3.21,999.0,1,3,c,1,0
389,car,174.21,208.78,36,23,5,False,56.79,118.17,-7.72,-0.55,999.0,1,3,c,1,0
390,car,95.45,215.7,89,45,5,False,21.9,93.73,-46.33,-0.93,999.0,1,3,c,1,0
388,car,228.04,204.79,19,15,5,False,121.94,9.11,-2.43,-1.36,999.0,1,3,c,1,0
401,car,180.19,195.85,19,15,1,False,113.41,49.47,-26.63,-0.55,999.0,1,3,c,1,0
412,car,527.65,259.74,140,69,1,False,14.58,57.25,25.7,70.32,999.0,1,3,c,1,0
443,car,497.73,207.47,89,35,4,False,27.36,27.52,41.63,8.01,999.0,1,3,c,1,0
445,car,112.91,224.45,198,90,4,False,14.02,35.64,-10.26,11.96,999.0,1,3,c,1,0
448,car,459.32,207.34,48,27,4,False,50.35,22.15,33.68,9.05,999.0,1,3,c,1,0
446,car,430.72,207.16,47,28,4,False,52.38,-0.91,6.08,6.39,999.0,1,3,c,1,0
504,car,154.02,218.58,73,62,1,False,29.4,-32.68,-391.01,-33.67,999.0,1,3,c,1,0
507,car,490.89,250.29,68,51,2,False,36.91,27.81,29.27,-1.41,999.0,1,3,c,1,0
538,car,404.72,223.03,52,39,2,False,49.38,-12.61,28.26,7.85,999.0,1,3,c,1,0
575,car,479.0,221.0,25,21,2,False,96.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
579,truck,374.18,183.18,55,51,2,False,45.18,4.99,0.78,1.08,999.0,1,3,c,1,0
687,car,434.44,244.79,57,43,3,False,41.8,-37.69,-9.93,-0.98,999.0,1,3,c,1,0
689,car,528.52,236.82,41,20,3,False,54.82,81.41,41.64,-0.34,999.0,1,3,c,1,0
686,car,220.0,241.61,73,61,3,False,32.93,-0.13,-0.0,-0.04,999.0,1,3,c,1,0
695,car,134.0,228.0,120,63,3,False,20.0,-0.05,-0.0,0.0,999.0,1,3,c,1,0
697,car,594.75,225.14,47,31,3,False,48.58,26.82,-11.05,0.88,999.0,1,3,c,1,0
711,car,27.0,171.0,55,42,1,False,43.64,-0.0,0.0,0.0,999.0,1,3,c,1,0
737,car,342.0,176.0,32,17,1,False,75.0,-0.0,0.0,0.0,999.0,1,3,c,1,0
740,car,278.64,266.53,265,113,5,True,9.35,24.75,24.23,90.54,999.0,1,3,c,1,0
741,car,346.77,207.39,166,86,5,True,14.8,56.6,51.56,59.63,999.0,1,3,c,1,0
744,car,139.48,210.87,199,92,5,True,14.71,43.7,-63.41,50.55,999.0,1,3,c,1,0
743,car,173.26,245.22,160,81,5,True,14.57,-0.68,10.96,12.77,999.0,1,3,c,1,0
751,car,54.37,204.37,84,82,5,True,28.08,-0.74,2.15,2.15,999.0,1,3,c,1,0
750,car,145.0,222.0,182,94,4,False,13.19,-0.0,0.0,0.0,999.0,1,3,c,1,0
758,car,47.0,210.0,79,72,4,False,30.38,-0.0,0.0,0.0,999.0,1,3,c,1,0
